index	prediction
0	Pure Questioning
1	Pure Questioning
2	Assertive Questioning
3	Assertive Questioning
4	Assertive Questioning
5	Assertive Questioning
6	Assertive Questioning
7	Pure Questioning
8	Pure Questioning
9	Pure Questioning
10	Assertive Questioning
11	Rhetorical Questioning
12	Pure Questioning
13	Pure Questioning
14	Pure Questioning
15	Rhetorical Questioning
16	Rhetorical Questioning
17	Rhetorical Questioning
18	Pure Questioning
19	Assertive Questioning
20	Pure Questioning
21	Pure Questioning
22	Pure Questioning
23	Pure Questioning
24	Pure Questioning
25	Pure Questioning
26	Rhetorical Questioning
27	Pure Questioning
28	Assertive Questioning
29	Pure Questioning
30	Pure Questioning
31	Assertive Questioning
32	Pure Questioning
33	Pure Questioning
34	Pure Questioning
35	Pure Questioning
36	Pure Questioning
37	Pure Questioning
38	Pure Questioning
39	Assertive Questioning
40	Assertive Questioning
41	Pure Questioning
42	Pure Questioning
43	Pure Questioning
44	Pure Questioning
45	Pure Questioning
46	Pure Questioning
47	Assertive Questioning
48	Pure Questioning
49	Pure Questioning
50	Pure Questioning
51	Pure Questioning
52	Assertive Questioning
53	Assertive Questioning
54	Pure Questioning
55	Pure Questioning
56	Pure Questioning
57	Pure Questioning
58	Pure Questioning
59	Pure Questioning
60	Pure Questioning
61	Assertive Questioning
62	Pure Questioning
63	Pure Questioning
64	Pure Questioning
65	Pure Questioning
66	Pure Questioning
67	Pure Questioning
68	Pure Questioning
69	Pure Questioning
70	Pure Questioning
71	Pure Questioning
72	Pure Questioning
73	Pure Questioning
74	Pure Questioning
75	Pure Questioning
76	Pure Questioning
77	Pure Questioning
78	Pure Questioning
79	Pure Questioning
80	Pure Questioning
81	Assertive Questioning
82	Assertive Questioning
83	Pure Questioning
84	Pure Questioning
85	Pure Questioning
86	Assertive Questioning
87	Assertive Questioning
88	Rhetorical Questioning
89	Pure Questioning
90	Pure Questioning
91	Pure Questioning
92	Pure Questioning
93	Pure Questioning
94	Pure Questioning
95	Pure Questioning
96	Pure Questioning
97	Pure Questioning
98	Pure Questioning
99	Pure Questioning
100	Rhetorical Questioning
101	Pure Questioning
