,ID,processed_question_locution,question_type,processed_preceding_locution,processed_response_locutions,response_length,response_loc_count,WordperLoc,EMperLoc,DefIllperLoc,MAperLoc,RAperLoc,CAperLoc,question_speaker,preceding_speaker,response_speaker,same_speaker_pq,same_speaker_rq,question_speaker_role,preceding_speaker_role,response_speaker_role
0,17918_1,What can the panel suggest for a whole generation of school children who are now missing nearly half an academic year and face months of distrust about social distancing and social contact and the face of further disruption,Pure Questioning,"Even if some children do get back to school before the end of the summer term, their experience is more likely to be about social distancing and hygiene rather than anything of any educational value","[""There's obviously some schools are going to go back on 1st June "", 'Some are not ', ""What's happening where you are""]",29,3,9.666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,Claire Cooper,Claire Cooper,Fiona Bruce,2,1,3,3,1
1,17918_2,What's happening where you are,Pure Questioning,Some are not,"['It is a mixed picture ', 'some are going back ', 'Some have said they would rather take their time to get the right arrangements in place ', 'we want to get the kids back in school if we can as quickly as possible ', ""it's got to be done as safely as possible "", ""The key thing is here schools haven't closed "", 'It is not as if they have not been doing anything over recent weeks ', 'Of course they have been looking after children of key workers ', 'teachers are feeling a bit stressed from the teacher-bashing they have seen this week ', 'we need to sort of de-escalate this row a little bit']",123,10,12.3,0.2,0.1,0.1,0.4,0.0,Fiona Bruce,Fiona Bruce,Andy Burnham,2,1,1,1,2
2,17919_1,Do you think it would be more likely to be successful if head teachers had known about 1 June before it was announced to the nation at large when they heard it on television?,Pure Questioning,Let's all work together to make that,"['There are thousands of head teachers and tens of hundreds of thousands of teachers ', 'it is hard to announce it to tens of thousands of people']",27,2,13.5,0.0,0.5,0.5,0.5,0.0,Fiona Bruce,Chris Philp,Chris Philp,1,1,1,2,2
3,17921_1,Why not?,Rhetorical Questioning,Do you think we could be doing that kind of thing here,[''],0,0,0.0,0.0,0.0,0.0,0.0,0.0,Helle Thorning-Schmidt,Fiona Bruce,,1,0,2,1,0
4,17925_1,You don't have some of the fears we have heard from teachers and some of the unions,Pure Questioning,"I had been asked if all of the children should go back, I would have said yes","['No ', 'I have been impressed by schools how they are going to social distance the children ', 'We have had a massive dossier for the eldest, washing hands, having temperature checks at the door and how they are going to be separated in class']",43,3,14.333333333333334,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,Fiona Bruce,Camilla Tominey,Camilla Tominey,1,1,1,2,2
5,17929_1,why was a decision taken then,Pure Questioning,Yes,"['it is very hard to compare the UK with Denmark ', 'Denmark is a much smaller country ', 'We have a different political system ', 'based on much more compromise, consultation ', ""we could never send children back to school without deep consultation with teachers' unions, head teachers and also parents "", 'they did succeed in sending people back']",73,6,12.166666666666666,0.1666666666666666,0.0,0.3333333333333333,0.5,0.0,Fiona Bruce,Helle Thorning-Schmidt,Helle Thorning-Schmidt,1,1,1,2,2
6,17929_2,how has it worked,Pure Questioning,why was a decision taken then,"['it is very hard to compare the UK with Denmark ', 'Denmark is a much smaller country ', 'We have a different political system ', 'based on much more compromise, consultation ', ""we could never send children back to school without deep consultation with teachers' unions, head teachers and also parents "", 'they did succeed in sending people back']",73,6,12.166666666666666,0.1666666666666666,0.0,0.3333333333333333,0.5,0.0,Fiona Bruce,Fiona Bruce,Helle Thorning-Schmidt,2,1,1,1,2
7,17930_1,You are saying the only way to tell schools was to do it through a press conference,Pure Questioning,That's exactly what they can do,"['you make an announcement to tens of thousands of head teachers ', 'you have made it publically ', 'The Unions have been closely consulted about the science ', 'They have been on calls where scientific advisers have briefed them on that ', 'I would urge teaching unions and their members to positively and constructively engage with schools to find safe ways of going back']",61,5,12.2,0.0,0.0,0.2,0.2,0.0,Fiona Bruce,Fiona Bruce,Chris Philp,2,1,1,1,2
8,17932_1,"Are you confident that it will be the test, track and trace will be fully embedded by June 1st",Pure Questioning,"Alfie, this was your question","['I am a computer science student ', 'My experience of software engineering is things do go wrong ', 'They go often wrong and we are running out of time ', 'If you want to launch an app on the same day that schools open, you are asking for the worst']",47,4,11.75,0.0,0.25,0.5,0.5,0.0,Fiona Bruce,Fiona Bruce,Alfie,2,1,1,1,3
9,17932_2,What prompted your question in the first place,Pure Questioning,"Are you confident that it will be the test, track and trace will be fully embedded by June 1st","['I am a computer science student ', 'My experience of software engineering is things do go wrong ', 'They go often wrong and we are running out of time ', 'If you want to launch an app on the same day that schools open, you are asking for the worst']",47,4,11.75,0.0,0.25,0.5,0.5,0.0,Fiona Bruce,Fiona Bruce,Alfie,2,1,1,1,3
