index	prediction
0	Assertive Questioning
1	Pure Questioning
2	Assertive Questioning
3	Rhetorical Questioning
4	Assertive Questioning
5	Assertive Questioning
6	Rhetorical Questioning
7	Assertive Questioning
8	Pure Questioning
9	Pure Questioning
10	Pure Questioning
11	Assertive Questioning
12	Rhetorical Questioning
13	Pure Questioning
14	Pure Questioning
15	Assertive Questioning
16	Rhetorical Questioning
17	Assertive Questioning
18	Pure Questioning
19	Pure Questioning
20	Pure Questioning
21	Pure Questioning
22	Pure Questioning
23	Pure Questioning
24	Pure Questioning
25	Assertive Questioning
26	Assertive Questioning
27	Pure Questioning
28	Pure Questioning
29	Pure Questioning
30	Rhetorical Questioning
31	Pure Questioning
32	Assertive Questioning
33	Pure Questioning
34	Pure Questioning
35	Rhetorical Questioning
36	Pure Questioning
37	Pure Questioning
38	Assertive Questioning
39	Pure Questioning
40	Pure Questioning
41	Rhetorical Questioning
42	Assertive Questioning
43	Assertive Questioning
44	Pure Questioning
45	Assertive Questioning
46	Pure Questioning
47	Assertive Questioning
48	Assertive Questioning
49	Assertive Questioning
50	Pure Questioning
51	Assertive Questioning
52	Assertive Questioning
53	Pure Questioning
54	Pure Questioning
55	Pure Questioning
56	Pure Questioning
57	Pure Questioning
58	Pure Questioning
59	Pure Questioning
60	Assertive Questioning
61	Pure Questioning
62	Assertive Questioning
63	Pure Questioning
64	Pure Questioning
65	Pure Questioning
66	Pure Questioning
67	Pure Questioning
68	Pure Questioning
69	Pure Questioning
70	Assertive Questioning
71	Assertive Questioning
72	Assertive Questioning
73	Assertive Questioning
74	Pure Questioning
75	Rhetorical Questioning
76	Pure Questioning
77	Rhetorical Questioning
78	Pure Questioning
79	Pure Questioning
80	Assertive Questioning
81	Pure Questioning
82	Pure Questioning
83	Pure Questioning
84	Pure Questioning
85	Assertive Questioning
86	Pure Questioning
87	Pure Questioning
88	Pure Questioning
89	Pure Questioning
90	Assertive Questioning
91	Pure Questioning
92	Pure Questioning
93	Assertive Questioning
94	Pure Questioning
95	Pure Questioning
96	Pure Questioning
97	Pure Questioning
98	Pure Questioning
99	Assertive Questioning
100	Assertive Questioning
101	Assertive Questioning
102	Pure Questioning
103	Pure Questioning
104	Rhetorical Questioning
105	Pure Questioning
106	Assertive Questioning
107	Assertive Questioning
108	Rhetorical Questioning
109	Assertive Questioning
110	Assertive Questioning
111	Pure Questioning
112	Pure Questioning
113	Pure Questioning
114	Assertive Questioning
115	Assertive Questioning
116	Assertive Questioning
117	Assertive Questioning
118	Assertive Questioning
119	Assertive Questioning
120	Assertive Questioning
121	Assertive Questioning
122	Pure Questioning
123	Assertive Questioning
124	Assertive Questioning
125	Pure Questioning
126	Pure Questioning
127	Assertive Questioning
128	Pure Questioning
129	Pure Questioning
130	Assertive Questioning
131	Pure Questioning
132	Pure Questioning
133	Rhetorical Questioning
134	Assertive Questioning
135	Pure Questioning
136	Pure Questioning
137	Assertive Questioning
138	Pure Questioning
139	Pure Questioning
140	Pure Questioning
141	Assertive Questioning
142	Pure Questioning
143	Pure Questioning
144	Pure Questioning
145	Pure Questioning
146	Pure Questioning
147	Pure Questioning
148	Pure Questioning
149	Pure Questioning
150	Pure Questioning
151	Pure Questioning
152	Pure Questioning
153	Assertive Questioning
154	Pure Questioning
155	Pure Questioning
156	Assertive Questioning
157	Pure Questioning
158	Pure Questioning
159	Pure Questioning
160	Pure Questioning
161	Pure Questioning
162	Pure Questioning
163	Assertive Questioning
164	Assertive Questioning
165	Assertive Questioning
166	Pure Questioning
167	Pure Questioning
168	Pure Questioning
169	Pure Questioning
170	Pure Questioning
171	Pure Questioning
172	Pure Questioning
173	Rhetorical Questioning
174	Assertive Questioning
175	Pure Questioning
176	Pure Questioning
177	Assertive Questioning
178	Pure Questioning
179	Assertive Questioning
180	Assertive Questioning
181	Rhetorical Questioning
182	Assertive Questioning
183	Pure Questioning
184	Assertive Questioning
185	Pure Questioning
186	Pure Questioning
187	Assertive Questioning
188	Assertive Questioning
189	Assertive Questioning
190	Assertive Questioning
191	Rhetorical Questioning
192	Assertive Questioning
193	Assertive Questioning
194	Assertive Questioning
195	Assertive Questioning
196	Assertive Questioning
197	Assertive Questioning
198	Assertive Questioning
199	Assertive Questioning
200	Assertive Questioning
201	Pure Questioning
202	Pure Questioning
203	Pure Questioning
204	Assertive Questioning
205	Pure Questioning
206	Pure Questioning
207	Pure Questioning
208	Pure Questioning
209	Pure Questioning
210	Assertive Questioning
211	Pure Questioning
212	Pure Questioning
213	Assertive Questioning
214	Assertive Questioning
215	Rhetorical Questioning
216	Rhetorical Questioning
217	Assertive Questioning
218	Assertive Questioning
219	Pure Questioning
220	Assertive Questioning
221	Pure Questioning
222	Rhetorical Questioning
223	Assertive Questioning
224	Assertive Questioning
225	Pure Questioning
226	Assertive Questioning
227	Rhetorical Questioning
228	Pure Questioning
229	Rhetorical Questioning
230	Pure Questioning
231	Pure Questioning
232	Pure Questioning
233	Pure Questioning
234	Assertive Questioning
235	Rhetorical Questioning
236	Assertive Questioning
237	Rhetorical Questioning
238	Rhetorical Questioning
239	Pure Questioning
240	Pure Questioning
241	Pure Questioning
242	Assertive Questioning
243	Assertive Questioning
244	Pure Questioning
245	Assertive Questioning
246	Assertive Questioning
247	Pure Questioning
248	Assertive Questioning
249	Assertive Questioning
250	Pure Questioning
251	Pure Questioning
252	Pure Questioning
253	Assertive Questioning
254	Pure Questioning
255	Pure Questioning
256	Pure Questioning
257	Pure Questioning
258	Pure Questioning
259	Pure Questioning
260	Pure Questioning
261	Assertive Questioning
262	Pure Questioning
263	Assertive Questioning
264	Pure Questioning
265	Rhetorical Questioning
266	Assertive Questioning
267	Pure Questioning
268	Assertive Questioning
269	Pure Questioning
270	Rhetorical Questioning
271	Rhetorical Questioning
272	Rhetorical Questioning
273	Rhetorical Questioning
274	Pure Questioning
275	Assertive Questioning
276	Assertive Questioning
277	Assertive Questioning
278	Pure Questioning
279	Pure Questioning
280	Rhetorical Questioning
281	Assertive Questioning
282	Pure Questioning
283	Pure Questioning
284	Pure Questioning
285	Assertive Questioning
286	Pure Questioning
287	Pure Questioning
288	Rhetorical Questioning
289	Assertive Questioning
290	Rhetorical Questioning
291	Pure Questioning
292	Pure Questioning
293	Assertive Questioning
294	Pure Questioning
295	Pure Questioning
296	Pure Questioning
297	Assertive Questioning
298	Pure Questioning
299	Assertive Questioning
300	Rhetorical Questioning
301	Pure Questioning
302	Assertive Questioning
303	Assertive Questioning
304	Assertive Questioning
305	Assertive Questioning
306	Rhetorical Questioning
307	Pure Questioning
308	Pure Questioning
309	Pure Questioning
310	Assertive Questioning
311	Pure Questioning
312	Pure Questioning
313	Assertive Questioning
314	Rhetorical Questioning
315	Assertive Questioning
316	Assertive Questioning
317	Assertive Questioning
318	Assertive Questioning
319	Assertive Questioning
320	Assertive Questioning
321	Rhetorical Questioning
322	Pure Questioning
323	Pure Questioning
324	Pure Questioning
325	Assertive Questioning
326	Assertive Questioning
327	Pure Questioning
328	Assertive Questioning
329	Pure Questioning
330	Pure Questioning
331	Pure Questioning
332	Pure Questioning
333	Pure Questioning
334	Pure Questioning
335	Assertive Questioning
336	Pure Questioning
337	Pure Questioning
338	Pure Questioning
339	Assertive Questioning
340	Rhetorical Questioning
341	Assertive Questioning
342	Pure Questioning
343	Pure Questioning
344	Pure Questioning
345	Assertive Questioning
346	Assertive Questioning
347	Assertive Questioning
348	Rhetorical Questioning
349	Assertive Questioning
350	Pure Questioning
