index	prediction
0	Assertive Questioning
1	Pure Questioning
2	Assertive Questioning
3	Pure Questioning
4	Assertive Questioning
5	Assertive Questioning
6	Assertive Questioning
7	Pure Questioning
8	Pure Questioning
9	Pure Questioning
10	Assertive Questioning
11	Rhetorical Questioning
12	Pure Questioning
13	Pure Questioning
14	Pure Questioning
15	Pure Questioning
16	Rhetorical Questioning
17	Rhetorical Questioning
18	Pure Questioning
19	Assertive Questioning
20	Pure Questioning
21	Pure Questioning
22	Pure Questioning
23	Pure Questioning
24	Pure Questioning
25	Pure Questioning
26	Pure Questioning
27	Pure Questioning
28	Pure Questioning
29	Pure Questioning
30	Assertive Questioning
31	Assertive Questioning
32	Pure Questioning
33	Pure Questioning
34	Pure Questioning
35	Pure Questioning
36	Pure Questioning
37	Pure Questioning
38	Assertive Questioning
39	Assertive Questioning
40	Assertive Questioning
41	Pure Questioning
42	Pure Questioning
43	Pure Questioning
44	Pure Questioning
45	Pure Questioning
46	Pure Questioning
47	Assertive Questioning
48	Pure Questioning
49	Pure Questioning
50	Pure Questioning
51	Pure Questioning
52	Rhetorical Questioning
53	Assertive Questioning
54	Pure Questioning
55	Pure Questioning
56	Pure Questioning
57	Pure Questioning
58	Pure Questioning
59	Assertive Questioning
60	Pure Questioning
61	Pure Questioning
62	Assertive Questioning
63	Pure Questioning
64	Pure Questioning
65	Pure Questioning
66	Pure Questioning
67	Pure Questioning
68	Pure Questioning
69	Pure Questioning
70	Pure Questioning
71	Assertive Questioning
72	Pure Questioning
73	Pure Questioning
74	Assertive Questioning
75	Pure Questioning
76	Assertive Questioning
77	Pure Questioning
78	Pure Questioning
79	Pure Questioning
80	Pure Questioning
81	Pure Questioning
82	Assertive Questioning
83	Pure Questioning
84	Pure Questioning
85	Pure Questioning
86	Pure Questioning
87	Pure Questioning
88	Pure Questioning
89	Pure Questioning
90	Pure Questioning
91	Pure Questioning
92	Pure Questioning
93	Assertive Questioning
94	Pure Questioning
95	Pure Questioning
96	Pure Questioning
97	Pure Questioning
98	Pure Questioning
99	Pure Questioning
100	Assertive Questioning
101	Assertive Questioning
102	Pure Questioning
103	Pure Questioning
104	Pure Questioning
105	Pure Questioning
106	Pure Questioning
107	Pure Questioning
108	Pure Questioning
109	Pure Questioning
110	Pure Questioning
111	Pure Questioning
112	Pure Questioning
113	Pure Questioning
114	Pure Questioning
115	Pure Questioning
116	Assertive Questioning
117	Assertive Questioning
118	Pure Questioning
119	Pure Questioning
120	Pure Questioning
121	Pure Questioning
122	Pure Questioning
123	Rhetorical Questioning
124	Pure Questioning
125	Pure Questioning
126	Pure Questioning
127	Pure Questioning
128	Pure Questioning
129	Assertive Questioning
130	Rhetorical Questioning
131	Pure Questioning
132	Pure Questioning
133	Assertive Questioning
134	Rhetorical Questioning
135	Pure Questioning
136	Pure Questioning
137	Pure Questioning
138	Pure Questioning
139	Assertive Questioning
140	Pure Questioning
141	Pure Questioning
142	Pure Questioning
143	Pure Questioning
144	Assertive Questioning
145	Pure Questioning
146	Pure Questioning
147	Pure Questioning
148	Pure Questioning
149	Pure Questioning
150	Pure Questioning
151	Pure Questioning
152	Pure Questioning
153	Assertive Questioning
154	Pure Questioning
155	Pure Questioning
156	Pure Questioning
157	Pure Questioning
158	Pure Questioning
159	Assertive Questioning
160	Assertive Questioning
161	Assertive Questioning
162	Assertive Questioning
163	Pure Questioning
164	Pure Questioning
165	Assertive Questioning
166	Pure Questioning
167	Pure Questioning
168	Pure Questioning
169	Pure Questioning
170	Pure Questioning
171	Pure Questioning
172	Pure Questioning
173	Assertive Questioning
174	Assertive Questioning
175	Pure Questioning
176	Assertive Questioning
177	Pure Questioning
178	Rhetorical Questioning
179	Pure Questioning
180	Assertive Questioning
181	Assertive Questioning
182	Assertive Questioning
183	Assertive Questioning
184	Pure Questioning
185	Pure Questioning
186	Pure Questioning
187	Pure Questioning
188	Pure Questioning
189	Pure Questioning
190	Assertive Questioning
191	Pure Questioning
192	Assertive Questioning
193	Pure Questioning
194	Pure Questioning
195	Assertive Questioning
196	Pure Questioning
197	Assertive Questioning
198	Pure Questioning
199	Pure Questioning
200	Pure Questioning
201	Pure Questioning
202	Pure Questioning
203	Assertive Questioning
204	Pure Questioning
205	Pure Questioning
206	Assertive Questioning
207	Pure Questioning
208	Pure Questioning
209	Pure Questioning
210	Pure Questioning
211	Pure Questioning
212	Pure Questioning
213	Assertive Questioning
214	Assertive Questioning
215	Rhetorical Questioning
216	Pure Questioning
217	Assertive Questioning
218	Assertive Questioning
219	Pure Questioning
220	Assertive Questioning
221	Pure Questioning
222	Pure Questioning
223	Assertive Questioning
224	Pure Questioning
225	Pure Questioning
226	Pure Questioning
227	Assertive Questioning
228	Pure Questioning
229	Pure Questioning
230	Rhetorical Questioning
231	Pure Questioning
232	Assertive Questioning
233	Pure Questioning
234	Assertive Questioning
235	Assertive Questioning
236	Pure Questioning
237	Pure Questioning
238	Rhetorical Questioning
239	Pure Questioning
240	Assertive Questioning
241	Pure Questioning
242	Pure Questioning
243	Assertive Questioning
244	Assertive Questioning
245	Pure Questioning
246	Rhetorical Questioning
247	Assertive Questioning
248	Pure Questioning
249	Assertive Questioning
250	Rhetorical Questioning
251	Pure Questioning
252	Rhetorical Questioning
253	Rhetorical Questioning
254	Pure Questioning
255	Pure Questioning
256	Pure Questioning
257	Pure Questioning
258	Pure Questioning
259	Assertive Questioning
260	Assertive Questioning
261	Pure Questioning
262	Pure Questioning
263	Assertive Questioning
264	Assertive Questioning
265	Rhetorical Questioning
266	Pure Questioning
267	Rhetorical Questioning
268	Assertive Questioning
269	Assertive Questioning
270	Pure Questioning
271	Assertive Questioning
272	Assertive Questioning
273	Pure Questioning
274	Pure Questioning
275	Pure Questioning
276	Pure Questioning
277	Assertive Questioning
278	Pure Questioning
279	Pure Questioning
280	Pure Questioning
281	Pure Questioning
282	Pure Questioning
283	Pure Questioning
284	Assertive Questioning
285	Pure Questioning
286	Pure Questioning
287	Pure Questioning
288	Pure Questioning
289	Rhetorical Questioning
290	Pure Questioning
291	Assertive Questioning
292	Pure Questioning
293	Assertive Questioning
294	Pure Questioning
295	Pure Questioning
296	Pure Questioning
297	Assertive Questioning
298	Pure Questioning
299	Pure Questioning
300	Pure Questioning
301	Pure Questioning
302	Assertive Questioning
303	Pure Questioning
304	Pure Questioning
305	Assertive Questioning
306	Pure Questioning
307	Assertive Questioning
308	Assertive Questioning
309	Pure Questioning
310	Assertive Questioning
311	Pure Questioning
312	Pure Questioning
313	Pure Questioning
314	Assertive Questioning
315	Rhetorical Questioning
316	Assertive Questioning
317	Assertive Questioning
318	Pure Questioning
319	Assertive Questioning
320	Assertive Questioning
321	Assertive Questioning
322	Pure Questioning
323	Pure Questioning
324	Pure Questioning
325	Pure Questioning
326	Pure Questioning
327	Pure Questioning
328	Pure Questioning
329	Assertive Questioning
330	Pure Questioning
331	Pure Questioning
332	Assertive Questioning
333	Pure Questioning
334	Pure Questioning
335	Pure Questioning
336	Pure Questioning
337	Pure Questioning
338	Pure Questioning
339	Rhetorical Questioning
340	Assertive Questioning
341	Pure Questioning
342	Assertive Questioning
343	Pure Questioning
344	Assertive Questioning
345	Pure Questioning
346	Assertive Questioning
347	Assertive Questioning
348	Rhetorical Questioning
349	Rhetorical Questioning
350	Assertive Questioning
351	Pure Questioning
352	Pure Questioning
353	Pure Questioning
354	Pure Questioning
355	Pure Questioning
356	Pure Questioning
357	Pure Questioning
358	Pure Questioning
